frame.time,frame.len,frame.protocols,eth.src,eth.dst,ip.dst,ip.src,ip.flags,ip.ttl,ip.proto,ip.checksum,ip.tos,tcp.srcport,tcp.dstport,tcp.flags,tcp.window_size_value,tcp.window_size_scalefactor,tcp.checksum,tcp.options,tcp.pdu.size,udp.srcport,udp.dstport,label
"Jan 14, 2025 18:40:22.447710000 GMT",67,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.0.2,192.168.18.17,0x02,64,17,0xb19d,,,,,,,,,,48322.0,53.0,Benign
"Jan 14, 2025 18:40:22.453402000 GMT",83,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.18.17,192.168.0.2,0x02,61,17,0x49d9,,,,,,,,,,53.0,48322.0,Benign
"Jan 14, 2025 18:40:22.453507000 GMT",90,eth:ethertype:ip:udp:ntp,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.0.3,192.168.18.17,0x02,64,17,0xa71f,,,,,,,,,,46343.0,123.0,Benign
"Jan 14, 2025 18:40:22.458119000 GMT",90,eth:ethertype:ip:udp:ntp,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.18.17,192.168.0.3,0x02,61,17,0xab96,,,,,,,,,,123.0,46343.0,Benign
"Jan 14, 2025 18:40:22.560013000 GMT",76,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.0.2,192.168.18.17,0x02,64,17,0x2e8d,,,,,,,,,,36848.0,53.0,Benign
"Jan 14, 2025 18:40:22.560037000 GMT",76,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.0.2,192.168.18.17,0x02,64,17,0x2e8c,,,,,,,,,,36848.0,53.0,Benign
"Jan 14, 2025 18:40:22.566259000 GMT",92,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.18.17,192.168.0.2,0x02,61,17,0x4981,,,,,,,,,,53.0,36848.0,Benign
"Jan 14, 2025 18:40:22.566278000 GMT",76,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.18.17,192.168.0.2,0x02,61,17,0x4990,,,,,,,,,,53.0,36848.0,Benign
"Jan 14, 2025 18:40:22.566368000 GMT",98,eth:ethertype:ip:icmp:data,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.2.1,192.168.18.17,0x02,64,1,0x54b0,,,,,,,,,,,,Benign
"Jan 14, 2025 18:40:22.571714000 GMT",98,eth:ethertype:ip:icmp:data,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.18.17,192.168.2.1,0x00,61,1,0x2ddf,,,,,,,,,,,,Benign
"Jan 14, 2025 18:40:22.571828000 GMT",84,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.0.2,192.168.18.17,0x02,64,17,0x4ce8,,,,,,,,,,46285.0,53.0,Benign
"Jan 14, 2025 18:40:22.578165000 GMT",114,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.18.17,192.168.0.2,0x02,61,17,0x4962,,,,,,,,,,53.0,46285.0,Benign
